city_full,rows,model_mae,naive_mae,mae_improvement
Los Angeles-Long Beach-Anaheim,8640,58209.64966684977,61137.27390046296,2927.624233613191
Boston-Cambridge-Newton,6528,54475.11251531863,57128.68780637255,2653.575291053923
Seattle-Tacoma-Bellevue,3744,38762.07877838917,40649.128605769234,1887.0498273800622
Miami-Fort Lauderdale-Pompano Beach,4344,31967.673702232965,33494.174493554325,1526.5007913213594
DC_Metro,7536,45742.96747072386,47159.856886942674,1416.8894162188153
Portland-Vancouver-Hillsboro,2832,30384.76613259181,31700.996998587572,1316.2308659957635
Atlanta-Sandy Springs-Alpharetta,4872,20966.13559947147,22133.12746305419,1166.9918635827198
Minneapolis-St. Paul-Bloomington,5208,24089.54394015592,25112.457085253456,1022.9131450975365
Charlotte-Concord-Gastonia,2520,23961.76525607639,24963.59841269841,1001.8331566220222
New York-Newark-Jersey City,19920,62299.809759178315,63287.009011044174,987.199251865859
Dallas-Fort Worth-Arlington,6024,18951.63303167538,19883.250083001327,931.6170513259458
Tampa-St. Petersburg-Clearwater,3096,15646.790651622052,16415.74580103359,768.9551494115385
Chicago-Naperville-Elgin,9024,17645.671047400076,18392.417830230497,746.7467828304216
Austin-Round Rock-Georgetown,2064,35675.53287594817,36254.3992248062,578.8663488580278
Orlando-Kissimmee-Sanford,2184,18965.706340859662,19539.556776556776,573.8504356971134
Cincinnati,3576,23717.255881904755,24280.127656599554,562.8717746947987
Detroit-Warren-Dearborn,5112,16815.816468240322,17297.983861502347,482.16739326202514
San Diego-Chula Vista-Carlsbad,2280,82522.62345463267,82894.8298245614,372.2063699287246
Houston-The Woodlands-Sugar Land,5256,16203.874916204397,16565.589802130897,361.71488592649985
Denver-Aurora-Lakewood,3000,34178.705139485675,34286.9455,108.24036051432631
Philadelphia-Camden-Wilmington,8016,26840.051670706438,26895.332210578843,55.280539872404916
St. Louis,5064,22716.430353969194,22727.833234597158,11.402880627963896
San Antonio-New Braunfels,2496,26184.011634239785,26183.896634615383,-0.11499962440211675
Phoenix-Mesa-Chandler,3576,20785.369210535515,20773.87472035794,-11.494490177574335
Riverside-San Bernardino-Ontario,3504,20043.08083284282,20002.472888127853,-40.60794471496774
Pittsburgh,7104,25493.84353816402,24942.568412162163,-551.2751260018558
Baltimore-Columbia-Towson,3528,38958.64703812026,38281.331207482996,-677.3158306372643
Sacramento-Roseville-Folsom,2736,49596.22675095943,48738.304824561405,-857.9219263980267
San Francisco-Oakland-Berkeley,3984,123444.5434472264,119447.59400100402,-3996.949446222381
Las Vegas-Henderson-Paradise,1656,24284.827757019928,19914.067028985508,-4370.76072803442
